"id","template","ai_part","next_view_id","previous_view_id","exercise_id","course_id"
"03b84ea8-8928-4817-89bf-376cdd8dc22c",5,False,NULL,NULL,"b8cf062b-716e-4019-8b3b-d319ca7b413f","44c92ac4-ced2-41c5-ac20-46ca8bbe0745"
"158b8361-432e-48c0-acab-1635ed73c5a3",5,False,NULL,NULL,"b8cf062b-716e-4019-8b3b-d319ca7b413f","e318020c-38f2-41cb-960f-6b0e57725114"
"42526e98-c50b-4b04-b227-bf7b2f182148",4,False,"158b8361-432e-48c0-acab-1635ed73c5a3","7b47da39-2fe9-43be-bb97-400e065d9ab1","da2c8a7b-ef35-42a6-9341-8410b68eca68","e318020c-38f2-41cb-960f-6b0e57725114"
"43476ef6-c0f2-490b-880f-a3c1c544bf8b",2,False,"8eb35922-c571-4cdd-8fcd-08c14614ff39","72556f14-8152-45c5-b0d8-432cc8e5b9bb","88129c91-82a7-4dcd-a9e8-8b9420dcf71b","44c92ac4-ced2-41c5-ac20-46ca8bbe0745"
"6a69c272-3124-4b02-93f4-48ac17c2feb6",2,False,"94c16b3c-2d78-409a-819f-0dd9d9ebba79",NULL,"bcd6c96b-3d77-41b0-9203-31983b67fd69","e318020c-38f2-41cb-960f-6b0e57725114"
"72556f14-8152-45c5-b0d8-432cc8e5b9bb",1,False,"43476ef6-c0f2-490b-880f-a3c1c544bf8b",NULL,"13fe163f-7e6c-4735-8772-12b97093a292","44c92ac4-ced2-41c5-ac20-46ca8bbe0745"
"7b47da39-2fe9-43be-bb97-400e065d9ab1",3,True,"42526e98-c50b-4b04-b227-bf7b2f182148","94c16b3c-2d78-409a-819f-0dd9d9ebba79","864ed163-06ea-48b1-9a7a-d04e778681b6","e318020c-38f2-41cb-960f-6b0e57725114"
"8980b17b-e10b-40f9-8380-bc3ce30ffda7",4,False,"03b84ea8-8928-4817-89bf-376cdd8dc22c","8eb35922-c571-4cdd-8fcd-08c14614ff39","f3c41f52-7fc8-4d72-bbba-261defcd246e","44c92ac4-ced2-41c5-ac20-46ca8bbe0745"
"8eb35922-c571-4cdd-8fcd-08c14614ff39",3,True,"8980b17b-e10b-40f9-8380-bc3ce30ffda7","43476ef6-c0f2-490b-880f-a3c1c544bf8b","115efa96-da2f-4ee5-aba0-e43d73c950ce","44c92ac4-ced2-41c5-ac20-46ca8bbe0745"
"94c16b3c-2d78-409a-819f-0dd9d9ebba79",2,False,"7b47da39-2fe9-43be-bb97-400e065d9ab1","6a69c272-3124-4b02-93f4-48ac17c2feb6","e225acc8-2ee0-4ea1-b425-f88aa4837131","e318020c-38f2-41cb-960f-6b0e57725114"
